Id,HourlyCalories,Datetime_Hour,HourlySteps,HourlyTotalIntensity,HourlyAvgIntensity,Avg_HR,Avg_METs,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,DailyCalories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,WeightPounds,BMI,IsManualReport
1503960366,81.0,2016-04-12 00:00:00,373.0,20.0,0.333333,70.0,17.233333333333334,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,61.0,2016-04-12 01:00:00,160.0,8.0,0.133333,70.0,12.833333333333334,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,59.0,2016-04-12 02:00:00,151.0,7.0,0.116667,70.0,12.466666666666667,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,47.0,2016-04-12 03:00:00,0.0,0.0,0.0,70.0,10.0,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,48.0,2016-04-12 04:00:00,0.0,0.0,0.0,70.0,10.066666666666666,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,48.0,2016-04-12 05:00:00,0.0,0.0,0.0,70.0,10.066666666666666,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,48.0,2016-04-12 06:00:00,0.0,0.0,0.0,70.0,10.066666666666666,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,47.0,2016-04-12 07:00:00,0.0,0.0,0.0,70.0,10.033333333333333,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,68.0,2016-04-12 08:00:00,250.0,13.0,0.216667,70.0,14.433333333333334,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,141.0,2016-04-12 09:00:00,1864.0,30.0,0.5,70.0,29.85,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,99.0,2016-04-12 10:00:00,676.0,29.0,0.483333,70.0,20.966666666666665,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,76.0,2016-04-12 11:00:00,360.0,12.0,0.2,70.0,16.1,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,73.0,2016-04-12 12:00:00,253.0,11.0,0.183333,70.0,15.433333333333334,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,66.0,2016-04-12 13:00:00,221.0,6.0,0.1,70.0,14.033333333333333,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
1503960366,110.0,2016-04-12 14:00:00,1166.0,36.0,0.6,70.0,23.316666666666666,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,52.5999984741211,115.963146545323,22.6499996185303,0
